date,state,fips,cases,deaths
2020-03-13,Alabama,1,6,0
2020-03-14,Alabama,1,12,0
2020-03-15,Alabama,1,23,0
2020-03-16,Alabama,1,29,0
2020-03-17,Alabama,1,39,0
2020-03-18,Alabama,1,51,0
2020-03-19,Alabama,1,78,0
2020-03-20,Alabama,1,106,0
2020-03-21,Alabama,1,131,0
2020-03-22,Alabama,1,157,0
2020-03-23,Alabama,1,196,0
2020-03-24,Alabama,1,242,0
2020-03-25,Alabama,1,386,1
2020-03-26,Alabama,1,538,3
2020-03-27,Alabama,1,639,4
2020-03-28,Alabama,1,720,4
2020-03-29,Alabama,1,830,5
2020-03-30,Alabama,1,947,11
2020-03-31,Alabama,1,999,13
2020-04-01,Alabama,1,1106,28
2020-04-02,Alabama,1,1270,32
2020-04-03,Alabama,1,1535,38
2020-04-04,Alabama,1,1633,44
2020-04-05,Alabama,1,1841,45
