date,state,fips,cases,deaths
2020-01-26,Arizona,4,1,0
2020-01-27,Arizona,4,1,0
2020-01-28,Arizona,4,1,0
2020-01-29,Arizona,4,1,0
2020-01-30,Arizona,4,1,0
2020-01-31,Arizona,4,1,0
2020-02-01,Arizona,4,1,0
2020-02-02,Arizona,4,1,0
2020-02-03,Arizona,4,1,0
2020-02-04,Arizona,4,1,0
2020-02-05,Arizona,4,1,0
2020-02-06,Arizona,4,1,0
2020-02-07,Arizona,4,1,0
2020-02-08,Arizona,4,1,0
2020-02-09,Arizona,4,1,0
2020-02-10,Arizona,4,1,0
2020-02-11,Arizona,4,1,0
2020-02-12,Arizona,4,1,0
2020-02-13,Arizona,4,1,0
2020-02-14,Arizona,4,1,0
2020-02-15,Arizona,4,1,0
2020-02-16,Arizona,4,1,0
2020-02-17,Arizona,4,1,0
2020-02-18,Arizona,4,1,0
2020-02-19,Arizona,4,1,0
2020-02-20,Arizona,4,1,0
2020-02-21,Arizona,4,1,0
2020-02-22,Arizona,4,1,0
2020-02-23,Arizona,4,1,0
2020-02-24,Arizona,4,1,0
2020-02-25,Arizona,4,1,0
2020-02-26,Arizona,4,1,0
2020-02-27,Arizona,4,1,0
2020-02-28,Arizona,4,1,0
2020-02-29,Arizona,4,1,0
2020-03-01,Arizona,4,1,0
2020-03-02,Arizona,4,1,0
2020-03-03,Arizona,4,2,0
2020-03-04,Arizona,4,2,0
2020-03-05,Arizona,4,2,0
2020-03-06,Arizona,4,3,0
2020-03-07,Arizona,4,5,0
2020-03-08,Arizona,4,5,0
2020-03-09,Arizona,4,6,0
2020-03-10,Arizona,4,6,0
2020-03-11,Arizona,4,9,0
2020-03-12,Arizona,4,9,0
2020-03-13,Arizona,4,9,0
2020-03-14,Arizona,4,12,0
2020-03-15,Arizona,4,13,0
2020-03-16,Arizona,4,18,0
2020-03-17,Arizona,4,20,0
2020-03-18,Arizona,4,28,0
2020-03-19,Arizona,4,47,0
2020-03-20,Arizona,4,70,1
2020-03-21,Arizona,4,104,1
2020-03-22,Arizona,4,153,2
2020-03-23,Arizona,4,234,2
2020-03-24,Arizona,4,326,6
2020-03-25,Arizona,4,402,6
2020-03-26,Arizona,4,508,8
2020-03-27,Arizona,4,665,15
2020-03-28,Arizona,4,773,15
2020-03-29,Arizona,4,929,18
2020-03-30,Arizona,4,1169,20
2020-03-31,Arizona,4,1298,24
2020-04-01,Arizona,4,1413,29
2020-04-02,Arizona,4,1600,35
2020-04-03,Arizona,4,1769,41
2020-04-04,Arizona,4,2019,53
