date,state,fips,cases,deaths
2020-03-05,Colorado,8,2,0
2020-03-06,Colorado,8,8,0
2020-03-07,Colorado,8,8,0
2020-03-08,Colorado,8,8,0
2020-03-09,Colorado,8,12,0
2020-03-10,Colorado,8,17,0
2020-03-11,Colorado,8,34,0
2020-03-12,Colorado,8,49,1
2020-03-13,Colorado,8,78,2
2020-03-14,Colorado,8,103,2
2020-03-15,Colorado,8,136,2
2020-03-16,Colorado,8,161,2
2020-03-17,Colorado,8,183,3
2020-03-18,Colorado,8,216,3
2020-03-19,Colorado,8,278,5
2020-03-20,Colorado,8,364,5
2020-03-21,Colorado,8,475,6
2020-03-22,Colorado,8,591,7
2020-03-23,Colorado,8,721,10
2020-03-24,Colorado,8,912,11
2020-03-25,Colorado,8,1086,19
2020-03-26,Colorado,8,1432,24
2020-03-27,Colorado,8,1735,31
2020-03-28,Colorado,8,2061,44
2020-03-29,Colorado,8,2315,47
2020-03-30,Colorado,8,2628,51
2020-03-31,Colorado,8,2990,69
2020-04-01,Colorado,8,3346,80
2020-04-02,Colorado,8,3728,96
2020-04-03,Colorado,8,4182,110
