date,state,fips,cases,deaths
2020-03-08,Connecticut,9,1,0
2020-03-09,Connecticut,9,2,0
2020-03-10,Connecticut,9,2,0
2020-03-11,Connecticut,9,3,0
2020-03-12,Connecticut,9,6,0
2020-03-13,Connecticut,9,11,0
2020-03-14,Connecticut,9,20,0
2020-03-15,Connecticut,9,26,0
2020-03-16,Connecticut,9,41,0
2020-03-17,Connecticut,9,68,0
2020-03-18,Connecticut,9,96,1
2020-03-19,Connecticut,9,159,4
2020-03-20,Connecticut,9,194,4
2020-03-21,Connecticut,9,223,5
2020-03-22,Connecticut,9,327,8
2020-03-23,Connecticut,9,415,10
2020-03-24,Connecticut,9,618,12
2020-03-25,Connecticut,9,875,19
2020-03-26,Connecticut,9,1012,21
2020-03-27,Connecticut,9,1291,27
2020-03-28,Connecticut,9,1524,33
2020-03-29,Connecticut,9,1993,34
2020-03-30,Connecticut,9,2571,36
2020-03-31,Connecticut,9,3128,69
2020-04-01,Connecticut,9,3557,85
2020-04-02,Connecticut,9,3824,112
2020-04-03,Connecticut,9,4915,132
2020-04-04,Connecticut,9,5276,165
2020-04-05,Connecticut,9,5675,189
2020-04-06,Connecticut,9,6906,206
