date,state,fips,cases,deaths
2020-03-11,Delaware,10,1,0
2020-03-12,Delaware,10,4,0
2020-03-13,Delaware,10,4,0
2020-03-14,Delaware,10,4,0
2020-03-15,Delaware,10,7,0
2020-03-16,Delaware,10,8,0
2020-03-17,Delaware,10,16,0
2020-03-18,Delaware,10,26,0
2020-03-19,Delaware,10,30,0
2020-03-20,Delaware,10,39,0
2020-03-21,Delaware,10,45,0
2020-03-22,Delaware,10,56,0
2020-03-23,Delaware,10,87,0
2020-03-24,Delaware,10,104,0
2020-03-25,Delaware,10,119,0
2020-03-26,Delaware,10,143,1
2020-03-27,Delaware,10,165,2
2020-03-28,Delaware,10,214,5
2020-03-29,Delaware,10,232,6
2020-03-30,Delaware,10,264,7
2020-03-31,Delaware,10,319,10
2020-04-01,Delaware,10,368,11
2020-04-02,Delaware,10,393,12
