date,state,fips,cases,deaths
2020-03-07,District of Columbia,11,1,0
2020-03-08,District of Columbia,11,1,0
2020-03-09,District of Columbia,11,4,0
2020-03-10,District of Columbia,11,4,0
2020-03-11,District of Columbia,11,10,0
2020-03-12,District of Columbia,11,10,0
2020-03-13,District of Columbia,11,10,0
2020-03-14,District of Columbia,11,16,0
2020-03-15,District of Columbia,11,17,0
2020-03-16,District of Columbia,11,22,0
2020-03-17,District of Columbia,11,31,0
2020-03-18,District of Columbia,11,36,0
2020-03-19,District of Columbia,11,68,0
2020-03-20,District of Columbia,11,77,1
2020-03-21,District of Columbia,11,98,1
2020-03-22,District of Columbia,11,116,2
2020-03-23,District of Columbia,11,138,2
2020-03-24,District of Columbia,11,183,2
2020-03-25,District of Columbia,11,231,3
2020-03-26,District of Columbia,11,267,3
2020-03-27,District of Columbia,11,304,4
2020-03-28,District of Columbia,11,342,4
2020-03-29,District of Columbia,11,342,4
2020-03-30,District of Columbia,11,495,9
2020-03-31,District of Columbia,11,495,9
2020-04-01,District of Columbia,11,586,11
2020-04-02,District of Columbia,11,653,12
2020-04-03,District of Columbia,11,757,15
