date,cases,deaths
2020-03-02,2,0
2020-03-03,2,0
2020-03-04,2,0
2020-03-05,2,0
2020-03-06,3,0
2020-03-07,7,0
2020-03-08,11,0
2020-03-09,17,0
2020-03-10,22,0
2020-03-11,31,0
2020-03-12,31,1
2020-03-13,41,1
2020-03-14,65,1
2020-03-15,97,1
2020-03-16,118,1
2020-03-17,142,1
2020-03-18,193,3
2020-03-19,282,10
2020-03-20,482,14
2020-03-21,552,20
2020-03-22,620,25
2020-03-23,800,25
2020-03-24,1097,38
2020-03-25,1387,47
2020-03-26,1643,56
2020-03-27,2198,64
2020-03-28,2447,79
2020-03-29,2683,83
2020-03-30,3032,102
2020-03-31,4117,125
2020-04-01,4748,154
2020-04-02,5444,176
2020-04-03,5967,198
2020-04-04,6383,208
2020-04-05,6742,219
2020-04-06,7558,294
2020-04-07,9156,348
