date,state,fips,cases,deaths
2020-03-15,Guam,66,3,0
2020-03-16,Guam,66,3,0
2020-03-17,Guam,66,3,0
2020-03-18,Guam,66,8,0
2020-03-19,Guam,66,12,0
2020-03-20,Guam,66,14,0
2020-03-21,Guam,66,15,0
2020-03-22,Guam,66,27,1
2020-03-23,Guam,66,29,1
2020-03-24,Guam,66,32,1
2020-03-25,Guam,66,32,1
2020-03-26,Guam,66,49,1
2020-03-27,Guam,66,53,1
2020-03-28,Guam,66,57,1
2020-03-29,Guam,66,58,1
2020-03-30,Guam,66,60,1
2020-03-31,Guam,66,139,2
2020-04-01,Guam,66,147,3
2020-04-02,Guam,66,152,3
2020-04-03,Guam,66,154,4
2020-04-04,Guam,66,223,4
2020-04-05,Guam,66,267,4
