date,state,fips,cases,deaths
2020-03-06,Hawaii,15,1,0
2020-03-07,Hawaii,15,1,0
2020-03-08,Hawaii,15,2,0
2020-03-09,Hawaii,15,2,0
2020-03-10,Hawaii,15,2,0
2020-03-11,Hawaii,15,2,0
2020-03-12,Hawaii,15,2,0
2020-03-13,Hawaii,15,2,0
2020-03-14,Hawaii,15,4,0
2020-03-15,Hawaii,15,7,0
2020-03-16,Hawaii,15,10,0
2020-03-17,Hawaii,15,14,0
2020-03-18,Hawaii,15,16,0
2020-03-19,Hawaii,15,26,0
2020-03-20,Hawaii,15,37,0
2020-03-21,Hawaii,15,48,0
2020-03-22,Hawaii,15,56,0
2020-03-23,Hawaii,15,77,0
2020-03-24,Hawaii,15,90,0
2020-03-25,Hawaii,15,95,0
2020-03-26,Hawaii,15,106,0
2020-03-27,Hawaii,15,120,0
2020-03-28,Hawaii,15,151,0
2020-03-29,Hawaii,15,175,0
2020-03-30,Hawaii,15,204,0
2020-03-31,Hawaii,15,224,1
2020-04-01,Hawaii,15,258,1
2020-04-02,Hawaii,15,283,2
2020-04-03,Hawaii,15,317,3
2020-04-04,Hawaii,15,349,3
2020-04-05,Hawaii,15,369,4
