date,state,fips,cases,deaths
2020-03-13,Idaho,16,1,0
2020-03-14,Idaho,16,5,0
2020-03-15,Idaho,16,5,0
2020-03-16,Idaho,16,5,0
2020-03-17,Idaho,16,9,0
2020-03-18,Idaho,16,11,0
2020-03-19,Idaho,16,23,0
2020-03-20,Idaho,16,31,0
2020-03-21,Idaho,16,42,0
2020-03-22,Idaho,16,47,0
2020-03-23,Idaho,16,50,0
2020-03-24,Idaho,16,73,0
2020-03-25,Idaho,16,123,0
2020-03-26,Idaho,16,189,3
2020-03-27,Idaho,16,231,4
2020-03-28,Idaho,16,261,5
2020-03-29,Idaho,16,310,6
2020-03-30,Idaho,16,415,7
2020-03-31,Idaho,16,526,9
2020-04-01,Idaho,16,669,9
2020-04-02,Idaho,16,891,9
