date,state,fips,cases,deaths
2020-01-24,Illinois,17,1,0
2020-01-25,Illinois,17,1,0
2020-01-26,Illinois,17,1,0
2020-01-27,Illinois,17,1,0
2020-01-28,Illinois,17,1,0
2020-01-29,Illinois,17,1,0
2020-01-30,Illinois,17,2,0
2020-01-31,Illinois,17,2,0
2020-02-01,Illinois,17,2,0
2020-02-02,Illinois,17,2,0
2020-02-03,Illinois,17,2,0
2020-02-04,Illinois,17,2,0
2020-02-05,Illinois,17,2,0
2020-02-06,Illinois,17,2,0
2020-02-07,Illinois,17,2,0
2020-02-08,Illinois,17,2,0
2020-02-09,Illinois,17,2,0
2020-02-10,Illinois,17,2,0
2020-02-11,Illinois,17,2,0
2020-02-12,Illinois,17,2,0
2020-02-13,Illinois,17,2,0
2020-02-14,Illinois,17,2,0
2020-02-15,Illinois,17,2,0
2020-02-16,Illinois,17,2,0
2020-02-17,Illinois,17,2,0
2020-02-18,Illinois,17,2,0
2020-02-19,Illinois,17,2,0
2020-02-20,Illinois,17,2,0
2020-02-21,Illinois,17,2,0
2020-02-22,Illinois,17,2,0
2020-02-23,Illinois,17,2,0
2020-02-24,Illinois,17,2,0
2020-02-25,Illinois,17,2,0
2020-02-26,Illinois,17,2,0
2020-02-27,Illinois,17,2,0
2020-02-28,Illinois,17,2,0
2020-02-29,Illinois,17,3,0
2020-03-01,Illinois,17,3,0
2020-03-02,Illinois,17,4,0
2020-03-03,Illinois,17,4,0
2020-03-04,Illinois,17,4,0
2020-03-05,Illinois,17,5,0
2020-03-06,Illinois,17,6,0
2020-03-07,Illinois,17,6,0
2020-03-08,Illinois,17,7,0
2020-03-09,Illinois,17,11,0
2020-03-10,Illinois,17,19,0
2020-03-11,Illinois,17,25,0
2020-03-12,Illinois,17,32,0
2020-03-13,Illinois,17,46,0
2020-03-14,Illinois,17,66,0
2020-03-15,Illinois,17,94,0
2020-03-16,Illinois,17,104,0
2020-03-17,Illinois,17,159,1
2020-03-18,Illinois,17,286,1
2020-03-19,Illinois,17,420,4
2020-03-20,Illinois,17,583,5
2020-03-21,Illinois,17,751,6
2020-03-22,Illinois,17,1047,9
2020-03-23,Illinois,17,1285,12
2020-03-24,Illinois,17,1535,16
2020-03-25,Illinois,17,1875,21
2020-03-26,Illinois,17,2538,26
2020-03-27,Illinois,17,3029,37
2020-03-28,Illinois,17,3547,50
2020-03-29,Illinois,17,4613,70
2020-03-30,Illinois,17,5070,84
2020-03-31,Illinois,17,5994,107
2020-04-01,Illinois,17,6980,146
2020-04-02,Illinois,17,7695,165
2020-04-03,Illinois,17,8904,211
