date,state,fips,cases,deaths
2020-03-06,Indiana,18,1,0
2020-03-07,Indiana,18,1,0
2020-03-08,Indiana,18,2,0
2020-03-09,Indiana,18,4,0
2020-03-10,Indiana,18,6,0
2020-03-11,Indiana,18,11,0
2020-03-12,Indiana,18,12,0
2020-03-13,Indiana,18,12,0
2020-03-14,Indiana,18,15,0
2020-03-15,Indiana,18,19,0
2020-03-16,Indiana,18,24,1
2020-03-17,Indiana,18,30,2
2020-03-18,Indiana,18,39,2
2020-03-19,Indiana,18,56,2
2020-03-20,Indiana,18,79,3
2020-03-21,Indiana,18,126,4
2020-03-22,Indiana,18,201,6
2020-03-23,Indiana,18,259,7
2020-03-24,Indiana,18,366,12
2020-03-25,Indiana,18,479,14
2020-03-26,Indiana,18,656,18
2020-03-27,Indiana,18,982,26
2020-03-28,Indiana,18,1232,31
2020-03-29,Indiana,18,1514,32
2020-03-30,Indiana,18,1788,35
2020-03-31,Indiana,18,2159,50
2020-04-01,Indiana,18,2565,65
2020-04-02,Indiana,18,3039,78
2020-04-03,Indiana,18,3437,102
2020-04-04,Indiana,18,3953,116
2020-04-05,Indiana,18,4411,127
2020-04-06,Indiana,18,4956,141
