date,state,fips,cases,deaths
2020-03-12,Maine,23,1,0
2020-03-13,Maine,23,2,0
2020-03-14,Maine,23,3,0
2020-03-15,Maine,23,12,0
2020-03-16,Maine,23,17,0
2020-03-17,Maine,23,32,0
2020-03-18,Maine,23,43,0
2020-03-19,Maine,23,52,0
2020-03-20,Maine,23,57,0
2020-03-21,Maine,23,70,0
2020-03-22,Maine,23,89,0
2020-03-23,Maine,23,107,0
2020-03-24,Maine,23,118,0
2020-03-25,Maine,23,142,0
2020-03-26,Maine,23,155,0
2020-03-27,Maine,23,168,1
2020-03-28,Maine,23,211,1
2020-03-29,Maine,23,253,3
2020-03-30,Maine,23,275,3
2020-03-31,Maine,23,303,5
2020-04-01,Maine,23,344,7
2020-04-02,Maine,23,376,7
2020-04-03,Maine,23,432,9
