date,state,fips,cases,deaths
2020-03-05,Maryland,24,3,0
2020-03-06,Maryland,24,3,0
2020-03-07,Maryland,24,3,0
2020-03-08,Maryland,24,5,0
2020-03-09,Maryland,24,6,0
2020-03-10,Maryland,24,9,0
2020-03-11,Maryland,24,13,0
2020-03-12,Maryland,24,13,0
2020-03-13,Maryland,24,18,0
2020-03-14,Maryland,24,27,0
2020-03-15,Maryland,24,32,0
2020-03-16,Maryland,24,39,0
2020-03-17,Maryland,24,57,0
2020-03-18,Maryland,24,85,1
2020-03-19,Maryland,24,108,1
2020-03-20,Maryland,24,150,2
2020-03-21,Maryland,24,195,3
2020-03-22,Maryland,24,245,3
2020-03-23,Maryland,24,290,3
2020-03-24,Maryland,24,349,4
2020-03-25,Maryland,24,423,4
2020-03-26,Maryland,24,581,4
2020-03-27,Maryland,24,775,5
2020-03-28,Maryland,24,1066,10
2020-03-29,Maryland,24,1244,11
2020-03-30,Maryland,24,1414,15
2020-03-31,Maryland,24,1662,18
2020-04-01,Maryland,24,1985,33
2020-04-02,Maryland,24,2331,36
2020-04-03,Maryland,24,2758,42
