date,state,fips,cases,deaths
2020-02-01,Massachusetts,25,1,0
2020-02-02,Massachusetts,25,1,0
2020-02-03,Massachusetts,25,1,0
2020-02-04,Massachusetts,25,1,0
2020-02-05,Massachusetts,25,1,0
2020-02-06,Massachusetts,25,1,0
2020-02-07,Massachusetts,25,1,0
2020-02-08,Massachusetts,25,1,0
2020-02-09,Massachusetts,25,1,0
2020-02-10,Massachusetts,25,1,0
2020-02-11,Massachusetts,25,1,0
2020-02-12,Massachusetts,25,1,0
2020-02-13,Massachusetts,25,1,0
2020-02-14,Massachusetts,25,1,0
2020-02-15,Massachusetts,25,1,0
2020-02-16,Massachusetts,25,1,0
2020-02-17,Massachusetts,25,1,0
2020-02-18,Massachusetts,25,1,0
2020-02-19,Massachusetts,25,1,0
2020-02-20,Massachusetts,25,1,0
2020-02-21,Massachusetts,25,1,0
2020-02-22,Massachusetts,25,1,0
2020-02-23,Massachusetts,25,1,0
2020-02-24,Massachusetts,25,1,0
2020-02-25,Massachusetts,25,1,0
2020-02-26,Massachusetts,25,1,0
2020-02-27,Massachusetts,25,1,0
2020-02-28,Massachusetts,25,1,0
2020-02-29,Massachusetts,25,1,0
2020-03-01,Massachusetts,25,1,0
2020-03-02,Massachusetts,25,2,0
2020-03-03,Massachusetts,25,2,0
2020-03-04,Massachusetts,25,2,0
2020-03-05,Massachusetts,25,3,0
2020-03-06,Massachusetts,25,8,0
2020-03-07,Massachusetts,25,13,0
2020-03-08,Massachusetts,25,28,0
2020-03-09,Massachusetts,25,41,0
2020-03-10,Massachusetts,25,92,0
2020-03-11,Massachusetts,25,95,0
2020-03-12,Massachusetts,25,108,0
2020-03-13,Massachusetts,25,123,0
2020-03-14,Massachusetts,25,138,0
2020-03-15,Massachusetts,25,164,0
2020-03-16,Massachusetts,25,197,0
2020-03-17,Massachusetts,25,218,0
2020-03-18,Massachusetts,25,256,0
2020-03-19,Massachusetts,25,328,0
2020-03-20,Massachusetts,25,413,1
2020-03-21,Massachusetts,25,525,2
2020-03-22,Massachusetts,25,646,5
2020-03-23,Massachusetts,25,777,5
2020-03-24,Massachusetts,25,1159,11
2020-03-25,Massachusetts,25,1838,15
2020-03-26,Massachusetts,25,2417,25
2020-03-27,Massachusetts,25,3240,35
2020-03-28,Massachusetts,25,4257,44
2020-03-29,Massachusetts,25,4955,48
2020-03-30,Massachusetts,25,5752,61
2020-03-31,Massachusetts,25,6620,89
2020-04-01,Massachusetts,25,7738,122
2020-04-02,Massachusetts,25,8966,154
2020-04-03,Massachusetts,25,10402,192
