date,state,fips,cases,deaths
2020-03-10,Michigan,26,2,0
2020-03-11,Michigan,26,2,0
2020-03-12,Michigan,26,12,0
2020-03-13,Michigan,26,25,0
2020-03-14,Michigan,26,33,0
2020-03-15,Michigan,26,53,0
2020-03-16,Michigan,26,54,0
2020-03-17,Michigan,26,65,0
2020-03-18,Michigan,26,80,1
2020-03-19,Michigan,26,334,3
2020-03-20,Michigan,26,548,4
2020-03-21,Michigan,26,787,6
2020-03-22,Michigan,26,1033,9
2020-03-23,Michigan,26,1324,16
2020-03-24,Michigan,26,1791,24
2020-03-25,Michigan,26,2294,43
2020-03-26,Michigan,26,2878,63
2020-03-27,Michigan,26,3657,93
2020-03-28,Michigan,26,4635,111
2020-03-29,Michigan,26,5486,132
2020-03-30,Michigan,26,6508,197
2020-03-31,Michigan,26,7630,264
2020-04-01,Michigan,26,9293,336
2020-04-02,Michigan,26,10791,417
2020-04-03,Michigan,26,12670,478
