date,state,fips,cases,deaths
2020-03-06,Minnesota,27,1,0
2020-03-07,Minnesota,27,1,0
2020-03-08,Minnesota,27,2,0
2020-03-09,Minnesota,27,2,0
2020-03-10,Minnesota,27,3,0
2020-03-11,Minnesota,27,5,0
2020-03-12,Minnesota,27,9,0
2020-03-13,Minnesota,27,14,0
2020-03-14,Minnesota,27,21,0
2020-03-15,Minnesota,27,35,0
2020-03-16,Minnesota,27,54,0
2020-03-17,Minnesota,27,60,0
2020-03-18,Minnesota,27,77,0
2020-03-19,Minnesota,27,89,0
2020-03-20,Minnesota,27,115,0
2020-03-21,Minnesota,27,138,1
2020-03-22,Minnesota,27,171,1
2020-03-23,Minnesota,27,235,1
2020-03-24,Minnesota,27,262,1
2020-03-25,Minnesota,27,287,1
2020-03-26,Minnesota,27,346,2
2020-03-27,Minnesota,27,398,4
2020-03-28,Minnesota,27,441,5
2020-03-29,Minnesota,27,504,9
2020-03-30,Minnesota,27,576,10
2020-03-31,Minnesota,27,629,12
2020-04-01,Minnesota,27,689,17
2020-04-02,Minnesota,27,742,18
