date,state,fips,cases,deaths
2020-03-13,Montana,30,4,0
2020-03-14,Montana,30,6,0
2020-03-15,Montana,30,6,0
2020-03-16,Montana,30,8,0
2020-03-17,Montana,30,8,0
2020-03-18,Montana,30,12,0
2020-03-19,Montana,30,19,0
2020-03-20,Montana,30,19,0
2020-03-21,Montana,30,29,0
2020-03-22,Montana,30,34,0
2020-03-23,Montana,30,45,0
2020-03-24,Montana,30,51,0
2020-03-25,Montana,30,65,0
2020-03-26,Montana,30,90,0
2020-03-27,Montana,30,121,1
2020-03-28,Montana,30,147,1
2020-03-29,Montana,30,161,1
2020-03-30,Montana,30,177,4
2020-03-31,Montana,30,198,5
2020-04-01,Montana,30,217,5
2020-04-02,Montana,30,241,6
