date,state,fips,cases,deaths
2020-02-17,Nebraska,31,10,0
2020-02-18,Nebraska,31,10,0
2020-02-19,Nebraska,31,10,0
2020-02-20,Nebraska,31,11,0
2020-02-21,Nebraska,31,11,0
2020-02-22,Nebraska,31,11,0
2020-02-23,Nebraska,31,11,0
2020-02-24,Nebraska,31,12,0
2020-02-25,Nebraska,31,13,0
2020-02-26,Nebraska,31,13,0
2020-02-27,Nebraska,31,13,0
2020-02-28,Nebraska,31,13,0
2020-02-29,Nebraska,31,13,0
2020-03-01,Nebraska,31,13,0
2020-03-02,Nebraska,31,13,0
2020-03-03,Nebraska,31,13,0
2020-03-04,Nebraska,31,13,0
2020-03-05,Nebraska,31,13,0
2020-03-06,Nebraska,31,14,0
2020-03-07,Nebraska,31,14,0
2020-03-08,Nebraska,31,16,0
2020-03-09,Nebraska,31,16,0
2020-03-10,Nebraska,31,17,0
2020-03-11,Nebraska,31,23,0
2020-03-12,Nebraska,31,24,0
2020-03-13,Nebraska,31,27,0
2020-03-14,Nebraska,31,29,0
2020-03-15,Nebraska,31,31,0
2020-03-16,Nebraska,31,33,0
2020-03-17,Nebraska,31,36,0
2020-03-18,Nebraska,31,43,0
2020-03-19,Nebraska,31,47,0
2020-03-20,Nebraska,31,53,0
2020-03-21,Nebraska,31,61,0
2020-03-22,Nebraska,31,62,0
2020-03-23,Nebraska,31,73,0
2020-03-24,Nebraska,31,77,0
2020-03-25,Nebraska,31,84,0
2020-03-26,Nebraska,31,92,0
2020-03-27,Nebraska,31,100,2
2020-03-28,Nebraska,31,122,2
2020-03-29,Nebraska,31,137,2
2020-03-30,Nebraska,31,185,3
2020-03-31,Nebraska,31,193,4
2020-04-01,Nebraska,31,249,5
2020-04-02,Nebraska,31,273,6
2020-04-03,Nebraska,31,296,6
2020-04-04,Nebraska,31,339,8
2020-04-05,Nebraska,31,377,8
2020-04-06,Nebraska,31,438,10
