date,state,fips,cases,deaths
2020-03-05,Nevada,32,2,0
2020-03-06,Nevada,32,2,0
2020-03-07,Nevada,32,2,0
2020-03-08,Nevada,32,4,0
2020-03-09,Nevada,32,4,0
2020-03-10,Nevada,32,4,0
2020-03-11,Nevada,32,7,0
2020-03-12,Nevada,32,11,0
2020-03-13,Nevada,32,19,0
2020-03-14,Nevada,32,21,0
2020-03-15,Nevada,32,26,0
2020-03-16,Nevada,32,45,1
2020-03-17,Nevada,32,55,1
2020-03-18,Nevada,32,82,1
2020-03-19,Nevada,32,99,1
2020-03-20,Nevada,32,165,2
2020-03-21,Nevada,32,165,2
2020-03-22,Nevada,32,190,2
2020-03-23,Nevada,32,265,4
2020-03-24,Nevada,32,315,6
2020-03-25,Nevada,32,405,10
2020-03-26,Nevada,32,535,10
2020-03-27,Nevada,32,621,10
2020-03-28,Nevada,32,738,14
2020-03-29,Nevada,32,920,15
2020-03-30,Nevada,32,1044,18
2020-03-31,Nevada,32,1113,26
2020-04-01,Nevada,32,1279,32
2020-04-02,Nevada,32,1458,38
2020-04-03,Nevada,32,1549,43
2020-04-04,Nevada,32,1758,46
2020-04-05,Nevada,32,1880,46
2020-04-06,Nevada,32,1971,58
