date,state,fips,cases,deaths
2020-03-11,New Mexico,35,4,0
2020-03-12,New Mexico,35,6,0
2020-03-13,New Mexico,35,10,0
2020-03-14,New Mexico,35,13,0
2020-03-15,New Mexico,35,17,0
2020-03-16,New Mexico,35,21,0
2020-03-17,New Mexico,35,23,0
2020-03-18,New Mexico,35,28,0
2020-03-19,New Mexico,35,35,0
2020-03-20,New Mexico,35,43,0
2020-03-21,New Mexico,35,57,0
2020-03-22,New Mexico,35,65,0
2020-03-23,New Mexico,35,83,0
2020-03-24,New Mexico,35,100,0
2020-03-25,New Mexico,35,112,1
2020-03-26,New Mexico,35,136,1
2020-03-27,New Mexico,35,191,1
2020-03-28,New Mexico,35,208,2
2020-03-29,New Mexico,35,237,2
2020-03-30,New Mexico,35,281,4
2020-03-31,New Mexico,35,315,5
2020-04-01,New Mexico,35,363,6
2020-04-02,New Mexico,35,403,7
2020-04-03,New Mexico,35,495,10
