date,state,fips,cases,deaths
2020-03-03,North Carolina,37,1,0
2020-03-04,North Carolina,37,1,0
2020-03-05,North Carolina,37,1,0
2020-03-06,North Carolina,37,2,0
2020-03-07,North Carolina,37,2,0
2020-03-08,North Carolina,37,2,0
2020-03-09,North Carolina,37,7,0
2020-03-10,North Carolina,37,7,0
2020-03-11,North Carolina,37,8,0
2020-03-12,North Carolina,37,16,0
2020-03-13,North Carolina,37,18,0
2020-03-14,North Carolina,37,25,0
2020-03-15,North Carolina,37,32,0
2020-03-16,North Carolina,37,34,0
2020-03-17,North Carolina,37,42,0
2020-03-18,North Carolina,37,66,0
2020-03-19,North Carolina,37,104,0
2020-03-20,North Carolina,37,144,0
2020-03-21,North Carolina,37,184,0
2020-03-22,North Carolina,37,269,0
2020-03-23,North Carolina,37,303,0
2020-03-24,North Carolina,37,399,0
2020-03-25,North Carolina,37,563,1
2020-03-26,North Carolina,37,638,2
2020-03-27,North Carolina,37,783,3
2020-03-28,North Carolina,37,972,4
2020-03-29,North Carolina,37,1167,6
2020-03-30,North Carolina,37,1304,6
2020-03-31,North Carolina,37,1528,10
2020-04-01,North Carolina,37,1582,11
2020-04-02,North Carolina,37,1857,17
