date,state,fips,cases,deaths
2020-03-11,North Dakota,38,1,0
2020-03-12,North Dakota,38,1,0
2020-03-13,North Dakota,38,1,0
2020-03-14,North Dakota,38,1,0
2020-03-15,North Dakota,38,1,0
2020-03-16,North Dakota,38,1,0
2020-03-17,North Dakota,38,5,0
2020-03-18,North Dakota,38,7,0
2020-03-19,North Dakota,38,19,0
2020-03-20,North Dakota,38,27,0
2020-03-21,North Dakota,38,28,0
2020-03-22,North Dakota,38,30,0
2020-03-23,North Dakota,38,32,0
2020-03-24,North Dakota,38,36,0
2020-03-25,North Dakota,38,45,0
2020-03-26,North Dakota,38,58,0
2020-03-27,North Dakota,38,68,1
2020-03-28,North Dakota,38,94,1
2020-03-29,North Dakota,38,98,1
2020-03-30,North Dakota,38,109,3
2020-03-31,North Dakota,38,126,3
2020-04-01,North Dakota,38,147,3
2020-04-02,North Dakota,38,159,3
2020-04-03,North Dakota,38,173,3
2020-04-04,North Dakota,38,186,3
2020-04-05,North Dakota,38,207,3
