date,state,fips,cases,deaths
2020-03-09,Ohio,39,3,0
2020-03-10,Ohio,39,3,0
2020-03-11,Ohio,39,4,0
2020-03-12,Ohio,39,5,0
2020-03-13,Ohio,39,13,0
2020-03-14,Ohio,39,26,0
2020-03-15,Ohio,39,37,0
2020-03-16,Ohio,39,50,0
2020-03-17,Ohio,39,67,0
2020-03-18,Ohio,39,90,0
2020-03-19,Ohio,39,120,0
2020-03-20,Ohio,39,169,1
2020-03-21,Ohio,39,247,3
2020-03-22,Ohio,39,351,3
2020-03-23,Ohio,39,444,6
2020-03-24,Ohio,39,564,8
2020-03-25,Ohio,39,706,11
2020-03-26,Ohio,39,867,15
2020-03-27,Ohio,39,1144,22
2020-03-28,Ohio,39,1406,25
2020-03-29,Ohio,39,1665,30
2020-03-30,Ohio,39,1933,40
2020-03-31,Ohio,39,2199,55
2020-04-01,Ohio,39,2547,65
2020-04-02,Ohio,39,2902,81
2020-04-03,Ohio,39,3312,91
