date,state,fips,cases,deaths
2020-03-06,Oklahoma,40,1,0
2020-03-07,Oklahoma,40,1,0
2020-03-08,Oklahoma,40,1,0
2020-03-09,Oklahoma,40,1,0
2020-03-10,Oklahoma,40,2,0
2020-03-11,Oklahoma,40,2,0
2020-03-12,Oklahoma,40,2,0
2020-03-13,Oklahoma,40,3,0
2020-03-14,Oklahoma,40,4,0
2020-03-15,Oklahoma,40,8,0
2020-03-16,Oklahoma,40,10,0
2020-03-17,Oklahoma,40,18,0
2020-03-18,Oklahoma,40,29,0
2020-03-19,Oklahoma,40,44,1
2020-03-20,Oklahoma,40,49,1
2020-03-21,Oklahoma,40,53,1
2020-03-22,Oklahoma,40,67,2
2020-03-23,Oklahoma,40,81,2
2020-03-24,Oklahoma,40,106,3
2020-03-25,Oklahoma,40,164,5
2020-03-26,Oklahoma,40,248,7
2020-03-27,Oklahoma,40,322,8
2020-03-28,Oklahoma,40,377,15
2020-03-29,Oklahoma,40,429,16
2020-03-30,Oklahoma,40,481,17
2020-03-31,Oklahoma,40,566,23
2020-04-01,Oklahoma,40,719,30
2020-04-02,Oklahoma,40,879,34
2020-04-03,Oklahoma,40,988,38
2020-04-04,Oklahoma,40,1159,42
