date,state,fips,cases,deaths
2020-02-28,Oregon,41,1,0
2020-02-29,Oregon,41,1,0
2020-03-01,Oregon,41,2,0
2020-03-02,Oregon,41,2,0
2020-03-03,Oregon,41,2,0
2020-03-04,Oregon,41,2,0
2020-03-05,Oregon,41,2,0
2020-03-06,Oregon,41,2,0
2020-03-07,Oregon,41,6,0
2020-03-08,Oregon,41,13,0
2020-03-09,Oregon,41,13,0
2020-03-10,Oregon,41,14,0
2020-03-11,Oregon,41,20,0
2020-03-12,Oregon,41,30,0
2020-03-13,Oregon,41,30,0
2020-03-14,Oregon,41,36,1
2020-03-15,Oregon,41,39,1
2020-03-16,Oregon,41,46,1
2020-03-17,Oregon,41,66,2
2020-03-18,Oregon,41,74,3
2020-03-19,Oregon,41,87,3
2020-03-20,Oregon,41,114,3
2020-03-21,Oregon,41,137,4
2020-03-22,Oregon,41,161,5
2020-03-23,Oregon,41,191,5
2020-03-24,Oregon,41,209,8
2020-03-25,Oregon,41,266,10
2020-03-26,Oregon,41,316,11
2020-03-27,Oregon,41,414,12
2020-03-28,Oregon,41,479,13
2020-03-29,Oregon,41,548,13
2020-03-30,Oregon,41,606,16
2020-03-31,Oregon,41,690,18
2020-04-01,Oregon,41,736,19
2020-04-02,Oregon,41,826,21
2020-04-03,Oregon,41,899,22
2020-04-04,Oregon,41,999,26
