date,state,fips,cases,deaths
2020-03-13,Puerto Rico,72,3,0
2020-03-14,Puerto Rico,72,4,0
2020-03-15,Puerto Rico,72,5,0
2020-03-16,Puerto Rico,72,5,0
2020-03-17,Puerto Rico,72,5,0
2020-03-18,Puerto Rico,72,5,0
2020-03-19,Puerto Rico,72,6,0
2020-03-20,Puerto Rico,72,14,0
2020-03-21,Puerto Rico,72,21,1
2020-03-22,Puerto Rico,72,23,1
2020-03-23,Puerto Rico,72,31,2
2020-03-24,Puerto Rico,72,39,2
2020-03-25,Puerto Rico,72,51,2
2020-03-26,Puerto Rico,72,64,2
2020-03-27,Puerto Rico,72,79,3
2020-03-28,Puerto Rico,72,100,3
2020-03-29,Puerto Rico,72,127,5
2020-03-30,Puerto Rico,72,174,6
2020-03-31,Puerto Rico,72,239,8
2020-04-01,Puerto Rico,72,286,11
2020-04-02,Puerto Rico,72,316,12
2020-04-03,Puerto Rico,72,378,15
2020-04-04,Puerto Rico,72,452,18
2020-04-05,Puerto Rico,72,475,20
2020-04-06,Puerto Rico,72,513,21
