date,state,fips,cases,deaths
2020-02-25,Utah,49,1,0
2020-02-26,Utah,49,1,0
2020-02-27,Utah,49,1,0
2020-02-28,Utah,49,1,0
2020-02-29,Utah,49,1,0
2020-03-01,Utah,49,1,0
2020-03-02,Utah,49,1,0
2020-03-03,Utah,49,1,0
2020-03-04,Utah,49,1,0
2020-03-05,Utah,49,1,0
2020-03-06,Utah,49,3,0
2020-03-07,Utah,49,3,0
2020-03-08,Utah,49,3,0
2020-03-09,Utah,49,3,0
2020-03-10,Utah,49,4,0
2020-03-11,Utah,49,5,0
2020-03-12,Utah,49,7,0
2020-03-13,Utah,49,7,0
2020-03-14,Utah,49,21,0
2020-03-15,Utah,49,29,0
2020-03-16,Utah,49,40,0
2020-03-17,Utah,49,51,0
2020-03-18,Utah,49,65,0
2020-03-19,Utah,49,80,0
2020-03-20,Utah,49,112,0
2020-03-21,Utah,49,138,0
2020-03-22,Utah,49,182,1
2020-03-23,Utah,49,257,1
2020-03-24,Utah,49,298,1
2020-03-25,Utah,49,346,1
2020-03-26,Utah,49,402,1
2020-03-27,Utah,49,480,2
2020-03-28,Utah,49,608,2
2020-03-29,Utah,49,719,2
2020-03-30,Utah,49,806,4
2020-03-31,Utah,49,887,5
2020-04-01,Utah,49,1012,7
2020-04-02,Utah,49,1074,7
2020-04-03,Utah,49,1260,7
2020-04-04,Utah,49,1428,8
2020-04-05,Utah,49,1605,8
2020-04-06,Utah,49,1675,13
