date,state,fips,cases,deaths
2020-03-07,Vermont,50,1,0
2020-03-08,Vermont,50,1,0
2020-03-09,Vermont,50,1,0
2020-03-10,Vermont,50,1,0
2020-03-11,Vermont,50,2,0
2020-03-12,Vermont,50,2,0
2020-03-13,Vermont,50,2,0
2020-03-14,Vermont,50,5,0
2020-03-15,Vermont,50,8,0
2020-03-16,Vermont,50,12,0
2020-03-17,Vermont,50,14,0
2020-03-18,Vermont,50,19,0
2020-03-19,Vermont,50,22,2
2020-03-20,Vermont,50,29,2
2020-03-21,Vermont,50,49,2
2020-03-22,Vermont,50,52,2
2020-03-23,Vermont,50,75,2
2020-03-24,Vermont,50,95,7
2020-03-25,Vermont,50,123,8
2020-03-26,Vermont,50,158,9
2020-03-27,Vermont,50,184,10
2020-03-28,Vermont,50,211,12
2020-03-29,Vermont,50,235,12
2020-03-30,Vermont,50,256,12
2020-03-31,Vermont,50,293,13
2020-04-01,Vermont,50,321,16
2020-04-02,Vermont,50,338,17
2020-04-03,Vermont,50,389,17
2020-04-04,Vermont,50,461,20
