date,state,fips,cases,deaths
2020-03-14,Virgin Islands,78,1,0
2020-03-15,Virgin Islands,78,1,0
2020-03-16,Virgin Islands,78,2,0
2020-03-17,Virgin Islands,78,2,0
2020-03-18,Virgin Islands,78,3,0
2020-03-19,Virgin Islands,78,3,0
2020-03-20,Virgin Islands,78,6,0
2020-03-21,Virgin Islands,78,6,0
2020-03-22,Virgin Islands,78,17,0
2020-03-23,Virgin Islands,78,17,0
2020-03-24,Virgin Islands,78,17,0
2020-03-25,Virgin Islands,78,17,0
2020-03-26,Virgin Islands,78,17,0
2020-03-27,Virgin Islands,78,19,0
2020-03-28,Virgin Islands,78,19,0
2020-03-29,Virgin Islands,78,23,0
2020-03-30,Virgin Islands,78,30,0
2020-03-31,Virgin Islands,78,30,0
2020-04-01,Virgin Islands,78,30,0
2020-04-02,Virgin Islands,78,37,0
2020-04-03,Virgin Islands,78,38,0
2020-04-04,Virgin Islands,78,42,0
2020-04-05,Virgin Islands,78,42,0
2020-04-06,Virgin Islands,78,43,1
