date,state,fips,cases,deaths
2020-03-17,West Virginia,54,1,0
2020-03-18,West Virginia,54,2,0
2020-03-19,West Virginia,54,5,0
2020-03-20,West Virginia,54,8,0
2020-03-21,West Virginia,54,12,0
2020-03-22,West Virginia,54,16,0
2020-03-23,West Virginia,54,16,0
2020-03-24,West Virginia,54,39,0
2020-03-25,West Virginia,54,51,0
2020-03-26,West Virginia,54,76,0
2020-03-27,West Virginia,54,96,0
2020-03-28,West Virginia,54,113,0
2020-03-29,West Virginia,54,124,1
2020-03-30,West Virginia,54,145,1
2020-03-31,West Virginia,54,162,1
2020-04-01,West Virginia,54,191,2
2020-04-02,West Virginia,54,217,2
