date,state,fips,cases,deaths
2020-03-11,Wyoming,56,1,0
2020-03-12,Wyoming,56,1,0
2020-03-13,Wyoming,56,2,0
2020-03-14,Wyoming,56,3,0
2020-03-15,Wyoming,56,3,0
2020-03-16,Wyoming,56,10,0
2020-03-17,Wyoming,56,15,0
2020-03-18,Wyoming,56,17,0
2020-03-19,Wyoming,56,18,0
2020-03-20,Wyoming,56,22,0
2020-03-21,Wyoming,56,24,0
2020-03-22,Wyoming,56,26,0
2020-03-23,Wyoming,56,28,0
2020-03-24,Wyoming,56,37,0
2020-03-25,Wyoming,56,49,0
2020-03-26,Wyoming,56,56,0
2020-03-27,Wyoming,56,73,0
2020-03-28,Wyoming,56,84,0
2020-03-29,Wyoming,56,87,0
2020-03-30,Wyoming,56,95,0
2020-03-31,Wyoming,56,120,0
2020-04-01,Wyoming,56,137,0
2020-04-02,Wyoming,56,153,0
2020-04-03,Wyoming,56,166,0
